Restaurants,Rating,Has WiFi,cuisine,distance
Mama's Pizza,4.5,False,italian,10
60 seconds to Nepoli,4.6,True,mexican,05
China Palace,3.2,False,chinese,20
The Cheesecake Factory,4.2,True,american,15
Pizza Hut,3.8,True,italian,10
Biryani Bowl,4.9,False,indian,20
Burger King,2.6,True,american,10
Taco Bell,3.5,True,mexican,30 
Freshii,4.7,True,healthy,40 
Panda Express,3.9,False,chinese,20 
McDonald's,2.3,True,american,20
Sushi Roku,4.8,True,japanese,20
Olive Garden,4.0,True,italian,20
Chipotle,4.4,True,mexican,20 
Little Caesars,3.1,False,italian,30
